"Type","Url","Title","VerifiedAt","Scope"
"Skill","https://docs.anthropic.com/en/docs/claude-code/skills","Extend Claude with skills","2026-06-19","資源類型參考"
"Connector","https://support.claude.com/en/articles/11176164-use-connectors-to-extend-claude-s-capabilities","Use connectors to extend Claude's capabilities","2026-06-19","資源類型參考"
"Claude Code","https://docs.anthropic.com/en/docs/claude-code/overview","Claude Code overview","2026-06-19","模式定位參考"
"Claude Cowork","https://www.anthropic.com/product/claude-cowork","Claude Cowork","2026-06-19","模式定位參考"
"Plugin extension","https://docs.anthropic.com/en/docs/claude-code/hooks-guide","Automate actions with hooks","2026-06-19","擴充方式參考"
